Maths,Physics,English,Economics,Biology
95,97,32,34,22
84,85,42,16,96
Maths,Physics,English,Economics,Biology
62,11,42,69,97
66,98,32,12,47
39,71,51,99,21
77,46,88,33,73
36,38,76,45,72
91,58,92,31,27
88,59,12,31,30
40,89,68,74,75
36,67,22,42,89
51,43,84,33,51
18,59,48,89,67
25,89,95,32,28
15,57,40,75,43
71,58,63,17,56
96,76,29,86,68
93,15,85,36,10
54,39,19,42,53
54,92,86,20,23
91,42,24,68,78
52,51,15,10,81
91,33,36,54,75
66,91,63,32,64
86,52,46,37,11
32,56,74,68,10
94,82,68,79,61
93,64,81,26,82
85,82,17,70,36
27,99,97,33,56
67,30,73,52,13
99,73,77,36,17
Maths,Physics,English,Economics,Biology
45,80,69,44,59
12,44,56,91,89
21,54,23,77,57
90,35,95,26,94
86,23,86,96,22
63,66,93,25,97
42,18,88,31,87
27,93,63,70,94
28,12,71,16,19
71,18,99,14,99
21,75,74,97,60
47,30,16,77,86
55,93,25,10,17
12,38,29,39,86
88,42,40,44,48
80,91,68,22,24
84,66,54,27,67
73,24,97,33,34
91,22,46,31,65
79,29,51,56,11
51,75,29,66,71
78,61,29,70,55
81,42,62,37,74
51,39,88,38,47
78,22,59,49,66
89,64,19,23,88
13,91,24,76,29
72,11,43,95,81
36,26,57,58,15
21,60,21,42,30
Maths,Physics,English,Economics,Biology
52,91,77,80,89
37,78,16,97,24
48,62,83,68,90
14,69,69,29,19
43,67,53,55,15
18,28,50,82,63
27,59,26,30,78
72,55,96,14,49
62,39,70,15,13
13,36,82,71,71
29,20,44,74,70
45,69,42,78,98
49,61,56,70,77
88,25,43,49,97
94,13,32,30,56
24,49,23,95,87
26,73,18,75,54
84,80,11,86,51
57,87,16,95,29
19,35,13,87,98
67,11,50,68,98
57,33,33,14,54
54,77,22,96,97
70,72,36,69,40
61,90,21,77,89
67,20,83,56,10
24,15,55,50,69
10,48,70,91,47
55,84,61,37,55
40,34,71,23,83
Maths,Physics,English,Economics,Biology
78,95,51,59,60
92,50,55,48,20
74,28,47,91,60
33,94,82,12,77
34,25,12,99,77
50,46,54,86,41
73,85,12,41,27
54,10,69,78,59
53,12,57,71,28
60,84,62,98,33
45,82,58,25,70
60,47,77,11,44
30,79,99,60,67
52,89,83,98,14
65,79,91,21,15
13,17,69,52,87
62,24,62,95,53
74,43,69,45,74
90,95,65,48,69
19,20,29,35,21
89,59,68,89,16
99,13,32,63,54
48,88,97,42,54
95,45,75,95,68
73,12,96,36,70
12,39,35,52,75
37,86,81,24,21
93,21,61,16,97
55,68,68,87,61
48,83,48,69,33
Maths,Physics,English,Economics,Biology
96,37,53,43,87
19,57,34,50,81
51,79,72,39,80
40,25,68,50,31
78,86,73,89,10
74,64,59,62,21
23,66,61,92,30
71,30,27,22,25
24,55,46,97,16
10,22,40,24,65
41,51,45,62,80
32,11,74,94,28
97,68,57,17,96
83,43,28,78,77
85,66,21,38,57
11,22,92,83,85
47,13,97,98,71
86,27,48,15,74
95,83,49,62,93
24,62,37,69,34
56,36,13,17,82
50,48,55,86,61
42,55,33,67,94
31,52,67,48,86
87,50,20,70,35
93,89,17,90,98
53,56,85,41,25
88,69,52,11,41
91,87,87,82,14
47,16,33,49,41
Maths,Physics,English,Economics,Biology
43,43,53,74,72
35,78,19,70,56
88,97,24,74,42
66,82,32,92,71
19,42,59,55,49
27,52,51,39,92
86,50,38,19,25
80,46,43,92,65
87,57,61,82,97
98,81,79,23,63
38,53,73,83,51
69,75,95,74,77
48,41,81,46,96
51,24,38,38,95
52,10,73,70,96
60,43,45,73,62
19,11,86,91,40
28,29,74,15,41
64,15,52,87,18
55,83,34,98,36
97,51,37,72,39
24,15,22,10,92
65,52,95,52,44
25,24,72,91,58
31,95,43,33,76
85,97,47,19,96
84,34,54,36,12
42,94,85,85,48
58,11,46,71,54
44,51,81,39,93
Maths,Physics,English,Economics,Biology
46,69,88,17,34
98,68,83,56,22
30,35,35,20,88
81,86,72,58,77
52,55,50,73,45
34,14,56,71,86
56,59,32,21,38
76,99,30,39,82
38,38,52,39,85
28,61,30,11,23
55,94,61,74,57
63,29,22,55,15
73,31,32,68,23
59,42,66,51,79
52,70,35,72,57
51,21,10,60,24
61,70,70,12,70
49,97,91,47,99
72,55,85,92,97
53,80,45,18,67
36,78,11,87,56
35,52,63,41,33
72,30,32,98,12
73,51,18,33,24
80,86,52,82,30
49,50,43,73,60
75,68,67,15,51
12,41,10,45,43
86,47,34,37,88
47,62,67,49,64
Maths,Physics,English,Economics,Biology
62,81,61,39,73
38,90,74,89,63
69,14,65,97,86
79,59,92,75,67
57,41,41,91,76
90,10,38,16,73
45,66,15,56,33
16,10,91,55,67
93,74,41,65,22
84,61,67,60,16
54,22,40,62,77
94,58,43,58,74
45,73,85,98,99
65,80,59,87,50
79,76,64,51,26
80,92,61,13,32
22,39,41,12,49
89,42,53,59,97
54,85,26,43,55
91,14,11,32,82
81,79,89,27,58
10,16,78,75,60
36,71,25,95,57
38,68,15,16,93
41,49,59,38,56
83,13,25,58,23
29,51,89,70,78
65,80,72,12,64
73,65,98,89,52
16,76,43,92,38
Maths,Physics,English,Economics,Biology
19,88,99,83,64
94,66,59,99,32
25,32,37,33,14
51,19,74,16,79
95,60,99,43,89
56,84,92,77,26
37,36,25,38,76
34,75,92,63,29
81,74,55,13,99
53,13,77,22,95
88,53,90,63,42
88,92,71,69,21
44,87,31,29,28
30,19,26,91,83
41,97,39,63,37
89,30,95,74,11
81,82,60,48,13
55,78,16,13,68
62,29,48,20,30
58,58,96,23,90
71,80,46,54,56
70,98,14,51,65
81,64,68,53,29
40,90,54,36,72
41,36,80,50,23
24,30,43,92,98
69,64,76,17,84
97,74,34,10,38
96,62,83,86,16
75,31,97,33,75
Maths,Physics,English,Economics,Biology
54,71,84,50,25
31,40,28,25,59
86,64,32,23,79
36,19,11,10,93
18,20,65,20,14
21,94,43,76,89
97,28,67,57,41
71,91,55,92,43
93,75,20,15,50
83,79,50,44,14
55,15,21,71,50
97,51,80,18,45
43,71,60,62,50
57,49,32,66,60
34,99,36,18,56
19,49,53,21,38
56,82,88,76,44
24,17,87,39,96
18,53,97,33,34
52,68,66,91,81
50,13,24,57,35
59,31,42,15,56
24,10,65,57,93
55,99,39,95,16
52,41,27,60,68
77,24,21,40,25
26,36,67,42,33
75,76,37,53,30
52,13,43,75,36
98,49,25,96,58
Maths,Physics,English,Economics,Biology
31,96,91,22,16
30,42,91,63,58
67,28,21,50,49
51,74,63,50,48
34,78,78,91,81
28,61,64,71,46
49,82,79,57,18
65,85,67,49,88
12,82,96,72,41
75,75,90,42,80
97,40,46,24,20
47,22,30,39,40
49,90,26,24,44
97,85,83,97,38
24,45,99,66,64
47,36,91,72,15
47,52,65,47,95
72,39,15,30,57
34,75,73,54,97
84,55,69,91,98
46,29,79,45,40
83,90,41,15,49
41,64,80,68,97
83,80,56,36,50
53,34,40,94,17
96,53,29,61,16
58,33,86,47,80
72,16,45,21,26
72,79,63,39,20
84,72,96,58,95
Maths,Physics,English,Economics,Biology
93,35,92,88,34
81,49,63,81,99
75,16,68,93,21
34,77,91,46,36
68,65,89,69,52
59,60,88,79,82
35,66,38,80,73
48,12,94,57,78
69,57,22,89,54
77,68,41,70,30
74,62,39,64,97
16,69,17,65,50
53,77,11,92,41
22,68,98,71,12
62,85,40,90,33
46,16,57,16,68
47,95,23,35,31
15,48,90,45,99
80,46,53,47,86
33,28,98,92,65
36,96,59,38,61
95,97,60,64,47
64,53,77,43,40
31,98,92,92,46
86,58,91,10,68
11,69,62,92,64
36,10,14,51,82
14,66,93,49,27
67,26,64,20,90
26,98,36,62,58
